Index,PubID,Result,Links
1,34449851,no,https://pubmed.ncbi.nlm.nih.gov/34449851
2,32856715,yes,https://pubmed.ncbi.nlm.nih.gov/32856715
3,31968055,no,https://pubmed.ncbi.nlm.nih.gov/31968055
4,32079830,yes,https://pubmed.ncbi.nlm.nih.gov/32079830
5,31476792,yes,https://pubmed.ncbi.nlm.nih.gov/31476792
6,33586764,maybe,https://pubmed.ncbi.nlm.nih.gov/33586764
7,36978047,no,https://pubmed.ncbi.nlm.nih.gov/36978047
8,36053280,no,https://pubmed.ncbi.nlm.nih.gov/36053280
9,31954491,no,https://pubmed.ncbi.nlm.nih.gov/31954491
10,30701608,no,https://pubmed.ncbi.nlm.nih.gov/30701608
11,36231143,no,https://pubmed.ncbi.nlm.nih.gov/36231143
12,31080117,maybe,https://pubmed.ncbi.nlm.nih.gov/31080117
13,35467767,no,https://pubmed.ncbi.nlm.nih.gov/35467767
14,30924056,no,https://pubmed.ncbi.nlm.nih.gov/30924056
15,33406375,yes,https://pubmed.ncbi.nlm.nih.gov/33406375
16,33706906,yes,https://pubmed.ncbi.nlm.nih.gov/33706906
17,30954961,yes,https://pubmed.ncbi.nlm.nih.gov/30954961
18,32456671,yes,https://pubmed.ncbi.nlm.nih.gov/32456671
19,36906696,yes,https://pubmed.ncbi.nlm.nih.gov/36906696
20,32278471,no,https://pubmed.ncbi.nlm.nih.gov/32278471
21,35246183,no,https://pubmed.ncbi.nlm.nih.gov/35246183
22,31353140,yes,https://pubmed.ncbi.nlm.nih.gov/31353140
23,34047809,no,https://pubmed.ncbi.nlm.nih.gov/34047809
24,36322436,yes,https://pubmed.ncbi.nlm.nih.gov/36322436
25,34996630,no,https://pubmed.ncbi.nlm.nih.gov/34996630
26,30739214,no,https://pubmed.ncbi.nlm.nih.gov/30739214
27,34248336,no,https://pubmed.ncbi.nlm.nih.gov/34248336
28,33296153,no,https://pubmed.ncbi.nlm.nih.gov/33296153
29,31699434,no,https://pubmed.ncbi.nlm.nih.gov/31699434
30,30102880,yes,https://pubmed.ncbi.nlm.nih.gov/30102880
31,33748919,no,https://pubmed.ncbi.nlm.nih.gov/33748919
32,31246146,no,https://pubmed.ncbi.nlm.nih.gov/31246146
33,33641425,no,https://pubmed.ncbi.nlm.nih.gov/33641425
34,32965516,yes,https://pubmed.ncbi.nlm.nih.gov/32965516
35,31923016,no,https://pubmed.ncbi.nlm.nih.gov/31923016
36,36790723,no,https://pubmed.ncbi.nlm.nih.gov/36790723
37,32079828,no,https://pubmed.ncbi.nlm.nih.gov/32079828
38,33397175,no,https://pubmed.ncbi.nlm.nih.gov/33397175
39,33231262,no,https://pubmed.ncbi.nlm.nih.gov/33231262
40,33625190,yes,https://pubmed.ncbi.nlm.nih.gov/33625190
41,32147756,no,https://pubmed.ncbi.nlm.nih.gov/32147756
42,30062389,yes,https://pubmed.ncbi.nlm.nih.gov/30062389
43,34693862,no,https://pubmed.ncbi.nlm.nih.gov/34693862
44,33050911,no,https://pubmed.ncbi.nlm.nih.gov/33050911
45,32697158,yes,https://pubmed.ncbi.nlm.nih.gov/32697158
46,33431367,no,https://pubmed.ncbi.nlm.nih.gov/33431367
47,31972799,no,https://pubmed.ncbi.nlm.nih.gov/31972799
48,31648951,yes,https://pubmed.ncbi.nlm.nih.gov/31648951
49,36528315,no,https://pubmed.ncbi.nlm.nih.gov/36528315
50,31729118,no,https://pubmed.ncbi.nlm.nih.gov/31729118
51,37776140,no,https://pubmed.ncbi.nlm.nih.gov/37776140
52,30447442,yes,https://pubmed.ncbi.nlm.nih.gov/30447442
53,34227399,no,https://pubmed.ncbi.nlm.nih.gov/34227399
54,34043777,no,https://pubmed.ncbi.nlm.nih.gov/34043777
55,31125780,yes,https://pubmed.ncbi.nlm.nih.gov/31125780
56,33690052,yes,https://pubmed.ncbi.nlm.nih.gov/33690052
57,30391279,no,https://pubmed.ncbi.nlm.nih.gov/30391279
58,37504306,no,https://pubmed.ncbi.nlm.nih.gov/37504306
59,31195014,no,https://pubmed.ncbi.nlm.nih.gov/31195014
60,36203925,no,https://pubmed.ncbi.nlm.nih.gov/36203925
61,36084968,yes,https://pubmed.ncbi.nlm.nih.gov/36084968
62,32472521,no,https://pubmed.ncbi.nlm.nih.gov/32472521
63,31594702,no,https://pubmed.ncbi.nlm.nih.gov/31594702
64,35033420,no,https://pubmed.ncbi.nlm.nih.gov/35033420
65,33516861,yes,https://pubmed.ncbi.nlm.nih.gov/33516861
66,35099683,no,https://pubmed.ncbi.nlm.nih.gov/35099683
67,36811127,no,https://pubmed.ncbi.nlm.nih.gov/36811127
68,35192975,no,https://pubmed.ncbi.nlm.nih.gov/35192975
69,35849901,yes,https://pubmed.ncbi.nlm.nih.gov/35849901
70,36661727,no,https://pubmed.ncbi.nlm.nih.gov/36661727
71,32788497,no,https://pubmed.ncbi.nlm.nih.gov/32788497
72,32181612,no,https://pubmed.ncbi.nlm.nih.gov/32181612
73,31756885,no,https://pubmed.ncbi.nlm.nih.gov/31756885
74,36308230,no,https://pubmed.ncbi.nlm.nih.gov/36308230
75,33325544,no,https://pubmed.ncbi.nlm.nih.gov/33325544
76,32717158,no,https://pubmed.ncbi.nlm.nih.gov/32717158
77,35534308,no,https://pubmed.ncbi.nlm.nih.gov/35534308
78,32265382,no,https://pubmed.ncbi.nlm.nih.gov/32265382
79,30418059,no,https://pubmed.ncbi.nlm.nih.gov/30418059
80,31764549,no,https://pubmed.ncbi.nlm.nih.gov/31764549
81,30614382,no,https://pubmed.ncbi.nlm.nih.gov/30614382
82,33301285,yes,https://pubmed.ncbi.nlm.nih.gov/33301285
83,30660225,yes,https://pubmed.ncbi.nlm.nih.gov/30660225
84,31505434,no,https://pubmed.ncbi.nlm.nih.gov/31505434
85,33180596,no,https://pubmed.ncbi.nlm.nih.gov/33180596
86,36587475,yes,https://pubmed.ncbi.nlm.nih.gov/36587475
87,35094574,no,https://pubmed.ncbi.nlm.nih.gov/35094574
88,30926588,no,https://pubmed.ncbi.nlm.nih.gov/30926588
89,32620473,no,https://pubmed.ncbi.nlm.nih.gov/32620473
90,37492370,maybe,https://pubmed.ncbi.nlm.nih.gov/37492370
91,35377078,no,https://pubmed.ncbi.nlm.nih.gov/35377078
92,33641424,no,https://pubmed.ncbi.nlm.nih.gov/33641424
93,33040640,no,https://pubmed.ncbi.nlm.nih.gov/33040640
94,32213020,yes,https://pubmed.ncbi.nlm.nih.gov/32213020
95,30220612,no,https://pubmed.ncbi.nlm.nih.gov/30220612
96,32515290,no,https://pubmed.ncbi.nlm.nih.gov/32515290
97,33538882,no,https://pubmed.ncbi.nlm.nih.gov/33538882
98,36016813,yes,https://pubmed.ncbi.nlm.nih.gov/36016813
99,32084613,yes,https://pubmed.ncbi.nlm.nih.gov/32084613
100,34559882,no,https://pubmed.ncbi.nlm.nih.gov/34559882
