Index,PubID,Result,Links
1,31466661,yes,https://pubmed.ncbi.nlm.nih.gov/31466661
2,37144623,yes,https://pubmed.ncbi.nlm.nih.gov/37144623
3,33482754,no,https://pubmed.ncbi.nlm.nih.gov/33482754
4,32590790,yes,https://pubmed.ncbi.nlm.nih.gov/32590790
5,31158569,yes,https://pubmed.ncbi.nlm.nih.gov/31158569
6,33506706,yes,https://pubmed.ncbi.nlm.nih.gov/33506706
7,29742917,yes,https://pubmed.ncbi.nlm.nih.gov/29742917
8,36496339,yes,https://pubmed.ncbi.nlm.nih.gov/36496339
9,33448027,yes,https://pubmed.ncbi.nlm.nih.gov/33448027
10,30480491,yes,https://pubmed.ncbi.nlm.nih.gov/30480491
11,29572568,yes,https://pubmed.ncbi.nlm.nih.gov/29572568
12,30849068,yes,https://pubmed.ncbi.nlm.nih.gov/30849068
13,31834812,yes,https://pubmed.ncbi.nlm.nih.gov/31834812
14,33202393,maybe,https://pubmed.ncbi.nlm.nih.gov/33202393
15,35171125,yes,https://pubmed.ncbi.nlm.nih.gov/35171125
16,32109145,yes,https://pubmed.ncbi.nlm.nih.gov/32109145
17,34748525,yes,https://pubmed.ncbi.nlm.nih.gov/34748525
18,33434767,yes,https://pubmed.ncbi.nlm.nih.gov/33434767
19,33996154,yes,https://pubmed.ncbi.nlm.nih.gov/33996154
20,31087540,maybe,https://pubmed.ncbi.nlm.nih.gov/31087540
21,36915189,yes,https://pubmed.ncbi.nlm.nih.gov/36915189
22,32544036,no,https://pubmed.ncbi.nlm.nih.gov/32544036
23,36700283,yes,https://pubmed.ncbi.nlm.nih.gov/36700283
24,30762800,yes,https://pubmed.ncbi.nlm.nih.gov/30762800
25,33971894,yes,https://pubmed.ncbi.nlm.nih.gov/33971894
26,34766564,yes,https://pubmed.ncbi.nlm.nih.gov/34766564
27,33165267,no,https://pubmed.ncbi.nlm.nih.gov/33165267
28,33380180,no,https://pubmed.ncbi.nlm.nih.gov/33380180
29,36438027,yes,https://pubmed.ncbi.nlm.nih.gov/36438027
30,29863601,yes,https://pubmed.ncbi.nlm.nih.gov/29863601
31,35051956,yes,https://pubmed.ncbi.nlm.nih.gov/35051956
