Index,PubID,Result,Links
1,32358144,no,https://pubmed.ncbi.nlm.nih.gov/32358144
2,29261912,yes,https://pubmed.ncbi.nlm.nih.gov/29261912
3,35001832,yes,https://pubmed.ncbi.nlm.nih.gov/35001832
4,32580323,no,https://pubmed.ncbi.nlm.nih.gov/32580323
5,37565058,yes,https://pubmed.ncbi.nlm.nih.gov/37565058
6,35001823,yes,https://pubmed.ncbi.nlm.nih.gov/35001823
7,34527357,yes,https://pubmed.ncbi.nlm.nih.gov/34527357
8,35001818,no,https://pubmed.ncbi.nlm.nih.gov/35001818
9,36973036,yes,https://pubmed.ncbi.nlm.nih.gov/36973036
10,31164485,yes,https://pubmed.ncbi.nlm.nih.gov/31164485
11,37465711,yes,https://pubmed.ncbi.nlm.nih.gov/37465711
12,30890631,yes,https://pubmed.ncbi.nlm.nih.gov/30890631
13,31218294,maybe,https://pubmed.ncbi.nlm.nih.gov/31218294
14,36112265,yes,https://pubmed.ncbi.nlm.nih.gov/36112265
15,36527981,yes,https://pubmed.ncbi.nlm.nih.gov/36527981
16,30554695,yes,https://pubmed.ncbi.nlm.nih.gov/30554695
17,32032028,yes,https://pubmed.ncbi.nlm.nih.gov/32032028
18,30863755,maybe,https://pubmed.ncbi.nlm.nih.gov/30863755
19,35989776,yes,https://pubmed.ncbi.nlm.nih.gov/35989776
20,34922610,yes,https://pubmed.ncbi.nlm.nih.gov/34922610
21,34824924,no,https://pubmed.ncbi.nlm.nih.gov/34824924
