Index,PubID,Result
1,31466661,no
2,37144623,no
3,33482754,yes
4,32590790,no
5,31158569,no
6,33506706,no
7,29742917,no
8,36496339,no
9,33448027,no
10,30480491,no
11,29572568,no
12,30849068,no
13,31834812,yes
14,33202393,no
15,35171125,no
16,32109145,yes
17,34748525,no
18,33434767,maybe
19,33996154,no
20,31087540,no
21,36915189,yes
22,32544036,no
23,36700283,yes
24,30762800,no
25,33971894,no
26,34766564,no
27,33165267,no
28,33380180,yes
29,36438027,no
30,29863601,maybe
31,35051956,yes
