Index,PubID,Result
1,32155645,yes
2,31272578,no
3,30974443,no
4,34506326,no
5,31552207,no
6,35451633,yes
7,34704805,no
8,30384985,no
9,34283868,no
10,31838477,yes
11,37527001,no
12,34274152,no
13,36383399,yes
14,29695206,yes
15,30771811,no
16,30196017,no
17,33958518,yes
18,31126684,yes
19,36653576,no
20,35210000,no
21,37396706,yes
22,30145059,no
23,34024450,no
24,29980346,yes
25,30172660,no
26,34836137,yes
27,33378779,no
28,30499415,yes
29,34727861,yes
30,34469367,no
31,35086498,yes
32,30387398,maybe
33,36034384,yes
34,36142816,yes
35,34090670,no
36,32953856,no
37,35128909,yes
38,31077334,no
39,30100524,no
40,31238334,no
41,32843076,yes
42,32615312,maybe
43,33447301,no
44,33337396,yes
45,33440455,no
46,34626783,maybe
47,31305401,no
