Index,PubID,Result,Links
1,36049847,no,https://pubmed.ncbi.nlm.nih.gov/36049847
2,30908805,no,https://pubmed.ncbi.nlm.nih.gov/30908805
3,35276220,no,https://pubmed.ncbi.nlm.nih.gov/35276220
4,30000851,no,https://pubmed.ncbi.nlm.nih.gov/30000851
5,30000835,no,https://pubmed.ncbi.nlm.nih.gov/30000835
6,32220159,no,https://pubmed.ncbi.nlm.nih.gov/32220159
8,30000834,no,https://pubmed.ncbi.nlm.nih.gov/30000834
9,35727713,no,https://pubmed.ncbi.nlm.nih.gov/35727713
10,37376945,no,https://pubmed.ncbi.nlm.nih.gov/37376945
11,30399096,no,https://pubmed.ncbi.nlm.nih.gov/30399096
12,34806684,yes,https://pubmed.ncbi.nlm.nih.gov/34806684
13,35015414,no,https://pubmed.ncbi.nlm.nih.gov/35015414
15,30938712,no,https://pubmed.ncbi.nlm.nih.gov/30938712
16,32662343,yes,https://pubmed.ncbi.nlm.nih.gov/32662343
17,36902633,yes,https://pubmed.ncbi.nlm.nih.gov/36902633
18,36033249,no,https://pubmed.ncbi.nlm.nih.gov/36033249
19,31490823,yes,https://pubmed.ncbi.nlm.nih.gov/31490823
20,34049966,no,https://pubmed.ncbi.nlm.nih.gov/34049966
21,36177063,yes,https://pubmed.ncbi.nlm.nih.gov/36177063
22,31565446,yes,https://pubmed.ncbi.nlm.nih.gov/31565446
23,35821899,yes,https://pubmed.ncbi.nlm.nih.gov/35821899
24,36447734,yes,https://pubmed.ncbi.nlm.nih.gov/36447734
25,31913959,no,https://pubmed.ncbi.nlm.nih.gov/31913959
26,30337419,no,https://pubmed.ncbi.nlm.nih.gov/30337419
27,31227569,no,https://pubmed.ncbi.nlm.nih.gov/31227569
28,33619144,yes,https://pubmed.ncbi.nlm.nih.gov/33619144
29,34623978,yes,https://pubmed.ncbi.nlm.nih.gov/34623978
30,36381720,no,https://pubmed.ncbi.nlm.nih.gov/36381720
31,33224397,yes,https://pubmed.ncbi.nlm.nih.gov/33224397
32,37435108,no,https://pubmed.ncbi.nlm.nih.gov/37435108
33,35861278,no,https://pubmed.ncbi.nlm.nih.gov/35861278
34,33786258,maybe,https://pubmed.ncbi.nlm.nih.gov/33786258
35,30910995,no,https://pubmed.ncbi.nlm.nih.gov/30910995
36,30900521,no,https://pubmed.ncbi.nlm.nih.gov/30900521
37,35138716,maybe,https://pubmed.ncbi.nlm.nih.gov/35138716
38,35093706,no,https://pubmed.ncbi.nlm.nih.gov/35093706
39,35364388,no,https://pubmed.ncbi.nlm.nih.gov/35364388
40,35949234,yes,https://pubmed.ncbi.nlm.nih.gov/35949234
41,36128866,yes,https://pubmed.ncbi.nlm.nih.gov/36128866
