Index,PubID,Result,Links
1,30399096,yes,https://pubmed.ncbi.nlm.nih.gov/30399096
2,34049966,no,https://pubmed.ncbi.nlm.nih.gov/34049966
3,31565446,yes,https://pubmed.ncbi.nlm.nih.gov/31565446
4,36447734,yes,https://pubmed.ncbi.nlm.nih.gov/36447734
5,31913959,yes,https://pubmed.ncbi.nlm.nih.gov/31913959
6,34623978,no,https://pubmed.ncbi.nlm.nih.gov/34623978
7,33786258,yes,https://pubmed.ncbi.nlm.nih.gov/33786258
8,35093706,yes,https://pubmed.ncbi.nlm.nih.gov/35093706
9,35949234,yes,https://pubmed.ncbi.nlm.nih.gov/35949234
10,34952313,yes,https://pubmed.ncbi.nlm.nih.gov/34952313
11,37441657,yes,https://pubmed.ncbi.nlm.nih.gov/37441657
12,33934716,no,https://pubmed.ncbi.nlm.nih.gov/33934716
13,31780602,yes,https://pubmed.ncbi.nlm.nih.gov/31780602
14,37229005,yes,https://pubmed.ncbi.nlm.nih.gov/37229005
15,36277738,maybe,https://pubmed.ncbi.nlm.nih.gov/36277738
16,34608421,yes,https://pubmed.ncbi.nlm.nih.gov/34608421
17,31996190,no,https://pubmed.ncbi.nlm.nih.gov/31996190
18,33978390,no,https://pubmed.ncbi.nlm.nih.gov/33978390
19,31703187,no,https://pubmed.ncbi.nlm.nih.gov/31703187
20,35103434,yes,https://pubmed.ncbi.nlm.nih.gov/35103434
21,33837030,yes,https://pubmed.ncbi.nlm.nih.gov/33837030
22,37442982,maybe,https://pubmed.ncbi.nlm.nih.gov/37442982
23,30611267,yes,https://pubmed.ncbi.nlm.nih.gov/30611267
