Index,PubID,Result,Links
1,33762733,yes,https://pubmed.ncbi.nlm.nih.gov/33762733
2,34619251,yes,https://pubmed.ncbi.nlm.nih.gov/34619251
3,34710362,yes,https://pubmed.ncbi.nlm.nih.gov/34710362
4,33832544,yes,https://pubmed.ncbi.nlm.nih.gov/33832544
5,34924279,yes,https://pubmed.ncbi.nlm.nih.gov/34924279
6,36558421,no,https://pubmed.ncbi.nlm.nih.gov/36558421
7,30890750,no,https://pubmed.ncbi.nlm.nih.gov/30890750
8,30602573,no,https://pubmed.ncbi.nlm.nih.gov/30602573
9,30218427,yes,https://pubmed.ncbi.nlm.nih.gov/30218427
10,36998141,no,https://pubmed.ncbi.nlm.nih.gov/36998141
11,37125245,yes,https://pubmed.ncbi.nlm.nih.gov/37125245
12,36999654,no,https://pubmed.ncbi.nlm.nih.gov/36999654
13,31372912,yes,https://pubmed.ncbi.nlm.nih.gov/31372912
14,34231100,yes,https://pubmed.ncbi.nlm.nih.gov/34231100
15,33984016,yes,https://pubmed.ncbi.nlm.nih.gov/33984016
16,30957702,no,https://pubmed.ncbi.nlm.nih.gov/30957702
17,31558881,yes,https://pubmed.ncbi.nlm.nih.gov/31558881
18,31826901,yes,https://pubmed.ncbi.nlm.nih.gov/31826901
19,36013566,yes,https://pubmed.ncbi.nlm.nih.gov/36013566
20,33393329,yes,https://pubmed.ncbi.nlm.nih.gov/33393329
21,31071367,yes,https://pubmed.ncbi.nlm.nih.gov/31071367
22,34168043,yes,https://pubmed.ncbi.nlm.nih.gov/34168043
23,33300167,yes,https://pubmed.ncbi.nlm.nih.gov/33300167
24,35989851,no,https://pubmed.ncbi.nlm.nih.gov/35989851
25,33642355,yes,https://pubmed.ncbi.nlm.nih.gov/33642355
26,34297981,yes,https://pubmed.ncbi.nlm.nih.gov/34297981
27,32192740,yes,https://pubmed.ncbi.nlm.nih.gov/32192740
28,37620821,no,https://pubmed.ncbi.nlm.nih.gov/37620821
29,30878955,no,https://pubmed.ncbi.nlm.nih.gov/30878955
30,32356496,no,https://pubmed.ncbi.nlm.nih.gov/32356496
31,33251981,yes,https://pubmed.ncbi.nlm.nih.gov/33251981
32,34970255,no,https://pubmed.ncbi.nlm.nih.gov/34970255
33,31238471,no,https://pubmed.ncbi.nlm.nih.gov/31238471
34,30473364,no,https://pubmed.ncbi.nlm.nih.gov/30473364
35,31574533,no,https://pubmed.ncbi.nlm.nih.gov/31574533
36,33402301,yes,https://pubmed.ncbi.nlm.nih.gov/33402301
37,33517738,yes,https://pubmed.ncbi.nlm.nih.gov/33517738
38,34151177,yes,https://pubmed.ncbi.nlm.nih.gov/34151177
39,35764547,no,https://pubmed.ncbi.nlm.nih.gov/35764547
40,31246992,yes,https://pubmed.ncbi.nlm.nih.gov/31246992
41,33970396,no,https://pubmed.ncbi.nlm.nih.gov/33970396
42,37854104,yes,https://pubmed.ncbi.nlm.nih.gov/37854104
43,31251928,yes,https://pubmed.ncbi.nlm.nih.gov/31251928
44,32039366,yes,https://pubmed.ncbi.nlm.nih.gov/32039366
45,29702297,yes,https://pubmed.ncbi.nlm.nih.gov/29702297
46,30411754,no,https://pubmed.ncbi.nlm.nih.gov/30411754
47,37420236,yes,https://pubmed.ncbi.nlm.nih.gov/37420236
48,35495021,no,https://pubmed.ncbi.nlm.nih.gov/35495021
49,37374049,yes,https://pubmed.ncbi.nlm.nih.gov/37374049
