Index,PubID,Result,Links
1,37405817,no,https://pubmed.ncbi.nlm.nih.gov/37405817
2,32649563,no,https://pubmed.ncbi.nlm.nih.gov/32649563
3,35012752,no,https://pubmed.ncbi.nlm.nih.gov/35012752
4,34560220,yes,https://pubmed.ncbi.nlm.nih.gov/34560220
5,31467984,no,https://pubmed.ncbi.nlm.nih.gov/31467984
6,30910750,no,https://pubmed.ncbi.nlm.nih.gov/30910750
7,35186134,no,https://pubmed.ncbi.nlm.nih.gov/35186134
8,30739872,yes,https://pubmed.ncbi.nlm.nih.gov/30739872
9,34178201,no,https://pubmed.ncbi.nlm.nih.gov/34178201
10,35856824,no,https://pubmed.ncbi.nlm.nih.gov/35856824
11,36105838,no,https://pubmed.ncbi.nlm.nih.gov/36105838
12,36103319,no,https://pubmed.ncbi.nlm.nih.gov/36103319
13,34152863,maybe,https://pubmed.ncbi.nlm.nih.gov/34152863
14,34562724,yes,https://pubmed.ncbi.nlm.nih.gov/34562724
15,30775107,no,https://pubmed.ncbi.nlm.nih.gov/30775107
16,31338407,maybe,https://pubmed.ncbi.nlm.nih.gov/31338407
17,30788109,no,https://pubmed.ncbi.nlm.nih.gov/30788109
18,37546026,yes,https://pubmed.ncbi.nlm.nih.gov/37546026
19,32224680,yes,https://pubmed.ncbi.nlm.nih.gov/32224680
