Index,PubID,Result,Links,ID,Summary,History,input_text
3,36127925,yes,https://pubmed.ncbi.nlm.nih.gov/36127925,36127925,"The Spondyloarthritis (SpA) represents a group of rheumatic inflammatory entities that share clinical, laboratory and imaging features, including Psoriatic Arthritis (PsA). Patients with radiographically axPsA show lower prevalence of inflammatory b ack pain, lumbar and buttock pain in comparison with axSpA. In addition, imaging features differ between axPsA and axSpA, with less sacroiliitis in axPsA and more asymmetrical, chunky syndesmophytes which are predominant at the cervical spine location.","- - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di","Is this patient history- - - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di- related to abstract- The Spondyloarthritis (SpA) represents a group of rheumatic inflammatory entities that share clinical, laboratory and imaging features, including Psoriatic Arthritis (PsA). Patients with radiographically axPsA show lower prevalence of inflammatory b ack pain, lumbar and buttock pain in comparison with axSpA. In addition, imaging features differ between axPsA and axSpA, with less sacroiliitis in axPsA and more asymmetrical, chunky syndesmophytes which are predominant at the cervical spine location."
5,31421680,yes,https://pubmed.ncbi.nlm.nih.gov/31421680,31421680,Background: The aim of this study was to investigate the correlation between radiographic measurement in lumbar spine and clinical information including symptoms or results of functional testing using a baseline data of longitudinal cohort study.,"- - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di","Is this patient history- - - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di- related to abstract- Background: The aim of this study was to investigate the correlation between radiographic measurement in lumbar spine and clinical information including symptoms or results of functional testing using a baseline data of longitudinal cohort study."
6,33891508,yes,https://pubmed.ncbi.nlm.nih.gov/33891508,33891508,"Objective: In recent years, there has been an increase in research on the therapeutic effects of exergaming, but there have been few studies on these types of interventions for chronic low back pain. Twenty randomly selected patients (9 males and 11 females, mean age 49.3 years) were included in the RFA group, and RFA exergaming was performed once a week for 40 minutes for 8 weeks.","- - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di","Is this patient history- - - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di- related to abstract- Objective: In recent years, there has been an increase in research on the therapeutic effects of exergaming, but there have been few studies on these types of interventions for chronic low back pain. Twenty randomly selected patients (9 males and 11 females, mean age 49.3 years) were included in the RFA group, and RFA exergaming was performed once a week for 40 minutes for 8 weeks."
8,35772982,yes,https://pubmed.ncbi.nlm.nih.gov/35772982,35772982,"Background: The sacroiliac joint (SIJ) is affected in 14% to 22% in individuals presenting with chronic low back or buttock pain. When patients do not respond well to nonsurgical treatment, minimally invasive sacroiliac joint fusion (MISJF) seems to be a reasonable option.","- - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di","Is this patient history- - - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di- related to abstract- Background: The sacroiliac joint (SIJ) is affected in 14% to 22% in individuals presenting with chronic low back or buttock pain. When patients do not respond well to nonsurgical treatment, minimally invasive sacroiliac joint fusion (MISJF) seems to be a reasonable option."
9,32390565,yes,https://pubmed.ncbi.nlm.nih.gov/32390565,32390565,Introduction: Periacetabular osteotomy (PAO) is an established treatment for symptomatic acetabular dysplasia in skeletally mature individuals without arthritis.,"- - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di","Is this patient history- - - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di- related to abstract- Introduction: Periacetabular osteotomy (PAO) is an established treatment for symptomatic acetabular dysplasia in skeletally mature individuals without arthritis."
10,33742649,maybe,https://pubmed.ncbi.nlm.nih.gov/33742649,33742649,"Although complications of necrotizing soft tissue infections (NSTIs) such as Fournier Gangrene (FG) are rare, they are associated with significant morbidity and mortality. We present the case of a 37-year-old male soldier with reported history of two distant left inguinal hernia repairs, complaining of increasing buttock pain despite outpatient antibiotic therapy for perineal cellulitis from his primary clinician.","- - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di","Is this patient history- - - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di- related to abstract- Although complications of necrotizing soft tissue infections (NSTIs) such as Fournier Gangrene (FG) are rare, they are associated with significant morbidity and mortality. We present the case of a 37-year-old male soldier with reported history of two distant left inguinal hernia repairs, complaining of increasing buttock pain despite outpatient antibiotic therapy for perineal cellulitis from his primary clinician."
11,37583858,yes,https://pubmed.ncbi.nlm.nih.gov/37583858,37583858,"Background: Subarachnoid-pleural fistula (SPF) is a complex and rare condition characterized by a pathological shunt between the subarachnoid and pleural spaces. Trauma or thoracic spinal surgery are common causes of SPF, with symptoms including postural headache, consciousness status changes, and dyspnea.","- - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di","Is this patient history- - - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di- related to abstract- Background: Subarachnoid-pleural fistula (SPF) is a complex and rare condition characterized by a pathological shunt between the subarachnoid and pleural spaces. Trauma or thoracic spinal surgery are common causes of SPF, with symptoms including postural headache, consciousness status changes, and dyspnea."
12,34703300,yes,https://pubmed.ncbi.nlm.nih.gov/34703300,34703300,Background: Sacroiliac joint (SIJ) pathology is a cause of low back pain that may be difficult to diagnose and challenging to treat. Open and minimally invasive (MI) lateral approach fusions have been used to treat sacroiliitis over the past two decades.,"- - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di","Is this patient history- - - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di- related to abstract- Background: Sacroiliac joint (SIJ) pathology is a cause of low back pain that may be difficult to diagnose and challenging to treat. Open and minimally invasive (MI) lateral approach fusions have been used to treat sacroiliitis over the past two decades."
13,36923606,yes,https://pubmed.ncbi.nlm.nih.gov/36923606,36923606,"Therefore, the aim of our study was to evaluate the predictors of reoperation in Hispanic-Americans with rLDH following primary hemilaminectomy and discectomy surgery.","- - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di","Is this patient history- - - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di- related to abstract- Therefore, the aim of our study was to evaluate the predictors of reoperation in Hispanic-Americans with rLDH following primary hemilaminectomy and discectomy surgery."
14,36707831,yes,https://pubmed.ncbi.nlm.nih.gov/36707831,36707831,"Background: To objectively assess the safety, feasibility, advantages, and disadvantages of transvaginal natural orifice transluminal endoscopic surgery (vnoTES) versus conventional vaginal (CV) surgery for sacrospinous ligament fixation (SSLF).","- - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di","Is this patient history- - - old male presents to the physician with his that comes on during his walks with his , forcing him stop and rest . he ##fi ##des in you that he having difficulty maintaining an erection to marital . exam is significant for f ##em ##oral di- related to abstract- Background: To objectively assess the safety, feasibility, advantages, and disadvantages of transvaginal natural orifice transluminal endoscopic surgery (vnoTES) versus conventional vaginal (CV) surgery for sacrospinous ligament fixation (SSLF)."
