pubId,Relevancy,Links
34099604,Maybe,https://pubmed.ncbi.nlm.nih.gov/34099604
33842025,Maybe,https://pubmed.ncbi.nlm.nih.gov/33842025
31169362,No,https://pubmed.ncbi.nlm.nih.gov/31169362
31864570,No,https://pubmed.ncbi.nlm.nih.gov/31864570
36127925,No,https://pubmed.ncbi.nlm.nih.gov/36127925
36348684,No,https://pubmed.ncbi.nlm.nih.gov/36348684
33559550,No,https://pubmed.ncbi.nlm.nih.gov/33559550
35048167,No,https://pubmed.ncbi.nlm.nih.gov/35048167
36288600,No,https://pubmed.ncbi.nlm.nih.gov/36288600
31421680,No,https://pubmed.ncbi.nlm.nih.gov/31421680
33891508,No,https://pubmed.ncbi.nlm.nih.gov/33891508
35284148,No,https://pubmed.ncbi.nlm.nih.gov/35284148
30455493,No,https://pubmed.ncbi.nlm.nih.gov/30455493
35402154,Maybe,https://pubmed.ncbi.nlm.nih.gov/35402154
35772982,No,https://pubmed.ncbi.nlm.nih.gov/35772982
32390565,No,https://pubmed.ncbi.nlm.nih.gov/32390565
32675598,No,https://pubmed.ncbi.nlm.nih.gov/32675598
36086984,Yes,https://pubmed.ncbi.nlm.nih.gov/36086984
31155167,No,https://pubmed.ncbi.nlm.nih.gov/31155167
33742649,No,https://pubmed.ncbi.nlm.nih.gov/33742649
37583858,No,https://pubmed.ncbi.nlm.nih.gov/37583858
34703300,No,https://pubmed.ncbi.nlm.nih.gov/34703300
31340948,No,https://pubmed.ncbi.nlm.nih.gov/31340948
36923606,No,https://pubmed.ncbi.nlm.nih.gov/36923606
34391238,No,https://pubmed.ncbi.nlm.nih.gov/34391238
34980976,No,https://pubmed.ncbi.nlm.nih.gov/34980976
34813438,No,https://pubmed.ncbi.nlm.nih.gov/34813438
35103175,No,https://pubmed.ncbi.nlm.nih.gov/35103175
32011555,No,https://pubmed.ncbi.nlm.nih.gov/32011555
36707831,No,https://pubmed.ncbi.nlm.nih.gov/36707831
34123643,No,https://pubmed.ncbi.nlm.nih.gov/34123643
30624698,No,https://pubmed.ncbi.nlm.nih.gov/30624698
37362469,Yes,https://pubmed.ncbi.nlm.nih.gov/37362469
31088435,No,https://pubmed.ncbi.nlm.nih.gov/31088435
