ID,Summary
37072094,"Herniation refers to the displacement of the nucleus pulposus of the intervertebral disc through the annulus fibrosus, thereby causing pressure on the neural elements. The sequalae of lumbar disc herniations range in severity from mild low back and buttock pain to severe cases of inability to ambulate and cauda equina syndrome."
34099604,"DGS has been proposed as a unifying term referring to symptoms attributed to the various pain generators located in this region. While not all-inclusive, the diagnosis of DGS allows for focus on pathology of regionally associated muscles, tendons, and nerves in the clinical evaluation and management of posterior hip and buttock complaints."
33842025,Background: Proximal hamstring tendinopathy affects athletic and non-athletic populations and is associated with longstanding buttock pain.
31169362,"nonsurgical treatment of sacroiliac joint pain typically includes structured core and pelvic muscle flexibility and strengthening; pharmaceutical management through oral and injectable medication; and ablation procedures. To date, the majority of published clinical studies on MIS sacroiliac joint fusion are industry-sponsored and predominantly using one system (ingrowth triangular titanium rods)."
31864570,"Ischiofemoral impingement is becoming a more recognized source of buttock pain that occurs as the lesser trochanter of the femur approximates the lateral margin of the ischium. Abnormal bony structure and alignment of the hip joint and/or faulty dynamic movement patterns may decrease the ischiofemoral space and compress the structures that are found within the space, including the quadratus femoris, proximal hamstring tendons, and sciatic nerve."
36127925,"The Spondyloarthritis (SpA) represents a group of rheumatic inflammatory entities that share clinical, laboratory and imaging features, including Psoriatic Arthritis (PsA). Patients with radiographically axPsA show lower prevalence of inflammatory b ack pain, lumbar and buttock pain in comparison with axSpA. In addition, imaging features differ between axPsA and axSpA, with less sacroiliitis in axPsA and more asymmetrical, chunky syndesmophytes which are predominant at the cervical spine location."
36348684,"Introduction: Most sacroiliac joint (SIJ) disorders are conservatively treated; however, patients with severe pain occasionally require SIJ arthrodesis after failure of continuous conservative management for more than 6 months. We investigated the incidences of preoperative tenderness in the sacrotuberous ligament (STL) and postoperative lower-buttock pain originating from the STL to determine the best way to manage these symptoms to achieve good outcomes."
33559550,"Aggressive angiomyxoma is a rare mesenchymal tumour, primarily arising in the soft tissue of the pelvis and perineum in women of reproductive age. The primary aims of this case report and literature review are to familiarise clinicians with the clinical, histopathological and immunochemical features of these tumours, and to increase appreciation that despite the rarity of aggressive angiomyxoma, it might be considered in the differential diagnosis of ischioanal lesions."
35048167,Keywords: Buttock pain; Native-tissue repair; Pelvic organ prolapse; Uterosacral ligament suspension; Vaginal Hysterectomy.
36288600,Background: Paravertebral cluneal nerves are constrained within a tunnel consisting of the thoracolumbar fascia and the iliac crest's superior rim as they pass over the iliac crest.
31421680,Background: The aim of this study was to investigate the correlation between radiographic measurement in lumbar spine and clinical information including symptoms or results of functional testing using a baseline data of longitudinal cohort study.
33891508,"Objective: In recent years, there has been an increase in research on the therapeutic effects of exergaming, but there have been few studies on these types of interventions for chronic low back pain. Twenty randomly selected patients (9 males and 11 females, mean age 49.3 years) were included in the RFA group, and RFA exergaming was performed once a week for 40 minutes for 8 weeks."
35284148,"Background: non-Hodgkin lymphomas (NHLs) comprise a group of haematologic malignancies with different histologic subtypes. Rheumatoid factor, antinuclear and antiphospholipid antibodies, C-ANCA and P-ANCA, hepatitis B and C, and HIV were negative."
30455493,Background: Pelvic organ prolapse includes descent of anterior/ posterior wall and apical (vault) prolapse with significant morbidity. In this study we evaluated the outcome of sacrospinous ligament fixation of vault through vaginal approach as part of the repair for massive uterovaginal (pelvic organ prolapse stage III and stage IV) and vault prolapse.
35402154,Background: Osteo-articular Mycobacterium tuberculosis infection of the ischial tuberosity is a rare cause of gluteal pain.
35772982,"Background: The sacroiliac joint (SIJ) is affected in 14% to 22% in individuals presenting with chronic low back or buttock pain. When patients do not respond well to nonsurgical treatment, minimally invasive sacroiliac joint fusion (MISJF) seems to be a reasonable option."
32390565,Introduction: Periacetabular osteotomy (PAO) is an established treatment for symptomatic acetabular dysplasia in skeletally mature individuals without arthritis.
32675598,
36086984,"However, isolated gluteal pain without any radicular symptoms in patient with lateral recess stenosis is rather unexpected and to our knowledge was not reported in the literature."
31155167,"These otherwise healthy patients usually present with symptoms of arterial insufficiency, such as thigh or buttock pain, loss of power, or weakness occurring during strenuous exercises. He self-referred to our institution after extensive research of providers familiar with his problem and at the recommendation of other cyclists with similar experiences."
33742649,"Although complications of necrotizing soft tissue infections (NSTIs) such as Fournier Gangrene (FG) are rare, they are associated with significant morbidity and mortality. We present the case of a 37-year-old male soldier with reported history of two distant left inguinal hernia repairs, complaining of increasing buttock pain despite outpatient antibiotic therapy for perineal cellulitis from his primary clinician."
37583858,"Background: Subarachnoid-pleural fistula (SPF) is a complex and rare condition characterized by a pathological shunt between the subarachnoid and pleural spaces. Trauma or thoracic spinal surgery are common causes of SPF, with symptoms including postural headache, consciousness status changes, and dyspnea."
34703300,Background: Sacroiliac joint (SIJ) pathology is a cause of low back pain that may be difficult to diagnose and challenging to treat. Open and minimally invasive (MI) lateral approach fusions have been used to treat sacroiliitis over the past two decades.
31340948,
36923606,"Therefore, the aim of our study was to evaluate the predictors of reoperation in Hispanic-Americans with rLDH following primary hemilaminectomy and discectomy surgery."
34391238,"Background: Endometriosis is one of the most widespread gynecological disorders and a very common condition amongst fertile women, thus it has to be considered one of the possible sources of lumbopelvic pain. The purpose of this case report is to underline the primary role of clinical reasoning and assessment process, which led the physiotherapist to the differential diagnosis, considering endometriosis among the possible causes of low back pain."
