ID,Summary
33515391,"Background: The risk of sustaining a contra-lateral anterior cruciate ligament (C-ACL) injury after primary unilateral ACL injury is high. C-ACL injury often contributes to a further decline in function and quality of life, including failure to return to sport. There is, however, very limited knowledge about which risk factors that contribute to C-ACL injury. (1). (2). (3) (4) (5) (6).) (7) (8) (9).) (10) (11) (12) (13) (14) (15) (16) (17) (18) (19) (20) (21) (23) (24) (25) (26) (27) (28) (30) (31) (32) (33) (34) (35) (36) (37) (38) (39) (40) (42) (42) (43) (44) (45) (46) (47) (49) (49) (49) (49) (48) (49) (49) (49) (49) (48) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) (49) ("
35896233,"Background / aim: Ewing sarcoma is a common primary bone tumor, often located in the distal femur or pelvis. Although the scapula is a flat bone similar to the pelvis, scapular Ewing sarcoma is rare. The aim of this study was to review our institution's experience with the management of scapular Ewing sarcomas. (1) Methods: We retrospectively reviewed the medical records of patients with scapular Ewing sarcoma treated at our institution between January 2000 and December 2015."
34209445,"Blount's disease is an idiopathic developmental abnormality affecting the medial proximal tibia physis resulting in a multi-planar deformity with pronounced tibia varus. A single cause is unknown, and it is currently thought to result from a multifactorial combination of hereditary, mechanical, and developmental factors. Relationships with vitamin D deficiency, early walking, and obesity have been documented. Regardless of the etiology, the clinical and radiographic findings are consistent within the two main groups. Early-onset Blount's disease is often bilateral and affects children in the first few years of life. Late-onset Blount's disease is often unilateral and can be sub-categorized as juvenile tibia vara (ages 4-10), and adolescent tibia vara (ages 11 and older). Early-onset Blount's disease progresses to more severe deformities, including depression of the medial tibial plateau. Additional deformities in both groups include proximal tibial procurvatum, internal tibial torsion, and limb length discrepancy. Compensatory deformities in the distal femur and distal tibia may occur. When non-operative treatment fails the deformities progress through skeletal maturity and can result in pain, gait abnormalities, premature medial compartment knee arthritis, and limb length discrepancy. Surgical options depend on the patient's age, weight, extent of physeal involvement, severity, and number of deformities. They include growth modulation procedures such as guided growth for gradual correction with hemi-epiphysiodesis and physeal closure to prevent recurrence and equalize limb lengths, physeal bar resection, physeal distraction, osteotomies with acute correction and stabilization, gradual correction with multi-planar dynamic external fixation, and various combinations of all modalities. The goals of surgery are to restore normal joint and limb alignment, equalize limb lengths at skeletal maturity, and prevent recurrence. The purpose of this literature review is to delineate basic concepts and reconstructive surgical treatment strategies for patients with Blount's disease."
31466661,"Posttraumatic arthritis (PTA) is a form of joint degeneration that occurs after physical trauma to a synovial joint. Development of PTA is multifactorial and results from mechanical damage at the time of trauma, a cell-mediated inflammatory response, and abnormal articulation due to persistent malalignment or joint instability. Although some risk factors may be unavoidable, preventing the development of PTA of the knee after intra-articular fracture (IAF) requires restoring anatomic articulation and alignment. Reconstruction with total knee arthroplasty is the treatment of choice for PTA and may be a useful primary treatment for IAF in some."
37144623,"Background and objectives: Bone resection and endoprosthetic reconstruction (EPR) in the setting of soft tissue sarcoma (STS) management is rare and incurs unique challenges. We aim to report on the surgical and oncological outcomes of this relatively previously undocumented cohort. (1) Methods: We retrospectively reviewed the records of all patients who underwent EPR for STS at our institution between January 1, 2000 and December 31, 2015. (2) Results: A total of 21 patients were identified."
35220230,"Background / aim: Ewing sarcoma is a common primary bone tumor, often located in the distal femur or pelvis. Acral Ewing sarcoma of the upper extremity is exceedingly rare. The aim of this study was to review our institution's experience with the management of rare acral Ewing sarcomas. (1) Methods: We retrospectively reviewed the medical records of patients with acral Ewing sarcoma treated at our institution from January 2000 to December 2015. (2) Results: A total of six patients with acral Ewing sarcoma were identified."
31897519,"Objective: To predict accurately whether a soft tissue mass was benign or malignant and to characterize its type using ultrasound, shear wave elastography and MRI. We hypothesized that with the addition of shear wave elastography, it would be possible to determine a threshold velocity value to classify a lesion as benign or malignant. (1) Methods: We retrospectively reviewed the ultrasound, shear wave elastography and MRI findings of patients with a soft tissue mass who underwent surgical excision. (2) Results: A total of 50 patients were included in the study."
33451359,"Background: Leg length discrepancy is often associated with distal femur angular deformities such as valgus or flexion. This study aims to report a new technique for simultaneous limb lengthening and acute distal femoral angular correction. (1) Methods: A retrospective review of patients with leg length discrepancy and angular deformities of the distal femur was performed. (2) Results: A total of 12 patients (13 limbs) were included. (3 males, 9 females). (3) Conclusions: The technique described in this study is a safe and effective method for simultaneous limb lengthening and acute angular correction of the distal femur."
31746635,Objective: This study aims to assess the CT and MRI features of calvarium and skull base osteosarcoma (CSBO). (1) To evaluate the CT and MRI features of CSBO. (2) To compare the CT and MRI features of CSBO with those of other primary bone tumors. (3) To evaluate the CT and MRI features of CSBO with those of other primary bone tumors. (4) To compare the CT and MRI features of CSBO with those of other primary bone tumors.
37109304,"Background: The cortical desmoid (DFCI) of the posteromedial femoral condyle is considered an asymptomatic incidental finding in adolescents without clinical relevance. The aim of this study was to evaluate the clinical relevance of DFCI from both a tumor orthopedic and sports medicine point of view. (1) Methods: A retrospective review of all patients with DFCI of the posteromedial femoral condyle treated at our institution between January 2000 and December 2015 was performed. (2) Results: A total of 14 patients (11 females, 3 males) with a mean age of 16 years (range, 13-19 years) were included."
31165193,"We report a case of a 16-year-old boy who presented a soft-tissue mass in the anterior compartment of the right thigh discovered by positron emission tomography / computed tomography within the work-up of unexplained prolonged inflammatory syndrome. The mass has no calcification. Subsequently, magnetic resonance imaging of the femoral triangle was carried out. Axial short tau inversion recovery images showed a 3.5-cm ill-defined mass in the femoral triangle with focal areas of hypointensity, which suggests that there might be fibrosis or hemosiderin within the tumor. Axial T1-weighted images showed a slight hyperintense mass involving the iliopsoas muscle. Contrast-enhanced fat-suppressed T1-weighted imaging showed a heterogeneous solid enhancement. Adjacent thick fascia enhancement of the vastus intermedius and the vastus lateralis muscles extending from the mass as a tail-like margin suggested the infiltrative spread of the tumor along the fascial plane. The mass and the lymphadenopathy were excised. Immunohistochemically, tumor cells were staining for muscle actin and desmin. Many plasma cells were IgG4 + (175per high-power field) with a ratio IgG4 + / IgG + of 50%. The diagnosis of IgG4-related disease (IgG4-RD) was made. Although a diffuse array of musculoskeletal symptoms has been observed in IgG4-related disease, reports of biopsy-proven musculoskeletal involvement of the limb are rare. We showed the radiological features of IgG4-RD presenting as a soft-tissue mass of the thigh. Musculoskeletal involvement, clinical significance, and treatment of IgG4-RD are also discussed."
33482754,"Background: Small soft tissue masses are often falsely assumed to be benign and resected with failure to achieve tumor-free margins. Therefore, this study retrospectively investigated the distribution of histopathologic diagnosis to be encountered in small soft tissue tumors (≤ 5 cm) in a large series of a tertiary referral center. (1) Methods: A total of 535 patients with a small soft tissue mass (≤ 5 cm) were included in this study. (1) Results: The most common histopathologic diagnosis was lipoma (n = 193, 35.8%), followed by schwannoma (n = 99, 18.4%), neurofibroma (n = 99, 18.4%), and liposarcoma (n = 99, 18.4%)."
