ID,Summary
36049847,"HELLP syndrome is a pregnancy-associated liver disease characterized by the presence of hemolysis (H), elevated liver enzymes, and low platelet count. Management of HELLP syndrome includes monitoring of obstetric complications, controlling hypertension, seizure prevention, and planning for delivery."
30908805,"Pregnancy, increasing parity, and obesity during pregnancy further increase the risk that a woman will develop cholelithiasis. The classic presentation of persons experiencing cholelithiasis, specifically when gallstones obstruct the common bile duct, is right upper quadrant pain of the abdomen that is often elicited upon palpation during physical examination and documented as a positive Murphy's sign."
35276220,"The liver disorders unique to pregnancy include hyperemesis gravidarum, intrahepatic cholestasis of pregnancy, acute fatty liver of pregnancy, and preeclampsia-associated hepatic impairment, specifically hemolysis, elevated liver enzymes, and low platelet count syndrome (HELLP). Expeditious diagnosis and clinical evaluation is critical to ensure timely, appropriate care and minimize risks to the pregnant woman and her fetus/baby."
30000851,"Coriander (Coriandrum sativum) seeds contain a volatile oil, consisting mainly of linalool, which is responsible for its odor and taste. A woman nursing her 10-month-old infant had drunk 200 mL of about a 10% aqueous extract of Coriandrum sativa (method of verification and possible presence of contaminants not stated) daily for 7 consecutive days to enhance her milk supply when she was admitted to the hospital with severe diarrhea and stomach pain."
30000835,"Anise is a purported galactogogue,[1-6] and is included in some proprietary mixtures promoted to increase milk supply; however, few scientifically valid clinical trials support this use. Galactogogues should never replace evaluation and counseling on modifiable factors that affect milk production.[7,8] Maternal anise ingestion reportedly imparts an odor to breastmilk,[9] possibly because anethole is excreted into breastmilk.[10] Anise is ""generally recognized as safe"" (GRAS) as a flavoring by the U.S. Food and Drug Administration."
32220159,"It refers to a heterogeneous group of metabolic disorders caused by the enzymatic deficiency in the biosynthesis of the heme group. After acute intermittent porphyria was diagnosed, hemin was administered, which stabilized the patient’s clinical signs and normalized the porphobilinogen."
34918633,
30000834,"Blessed thistle (Cnicus benedictus, Carduus benedictus, Cardui benedicti) contains sesquiterpene lactones, triterpenoids, lignans, tannins, essential oils, flavonoids, and polyenes. Blessed thistle is a purported galactogogue,[1-6] and is included in some proprietary mixtures promoted to increase milk supply; however, no scientifically valid clinical trials support this use."
35727713,"A 45-year-old woman presented to the emergency department with acute worsening of prolonged unexplained nausea, nonbilious vomiting, and mild upper abdominal pain of 4 years duration. Subsequently, an indium 111 octreotide scan was performed at the recommendation of the radiologist 1 month after CT (Figs 1, 2)."
37376945,Background: Liver abscess caused by foreign bodies constitutes a rare medical problem that few of us will encounter in a clinical setting.
30399096,Background: Retroperitoneal ectopic pregnancies are rare and have a tendency to implant along major vessels of the abdomen and pelvis.
34806684,"We report a 58-year-old Malay woman, with underlying type II diabetes mellitus, hypertension and history of stage II pulmonary sarcoidosis presenting with incidental finding of multiple hypodense liver lesions. Her recent contrasted enhanced computed tomography of the abdomen and pelvis demonstrated multiple intra-abdominal lymphadenopathies with evidence of liver and splenic infiltrations."
35015414,"Preeclampsia, formerly called toxemia of pregnancy, is a disorder that affects pregnant women, most commonly in their third trimester. Characterized by hypertension and proteinuria, it can involve nearly every organ system and often results in significant end-organ dysfunction."
35139321,
30938712,"Aim: Describtion of a rare case of intestinal obstruction due to peritoneal sarcoidosis mimicking peritoneal carcinomatosis, and of the literature review about its surgical management."
32662343,"The differential diagnosis includes ovarian masses, tubal/paratubal masses, masses related to the gastrointestinal tract (colon), infectious lesions, or pregnancy. In the light of these cornerstones, this review describes the aetiologies, presenting symptoms, and appropriate diagnostic work-up for paediatric and adolescent patients affected by adnexal masses."
36902633,"In modern clinical practice, there is an increasing dependence on imaging techniques in several settings, and especially during emergencies. The purpose of this review is to provide a critical evaluation of emergency conditions, e.g., abdominal pain and trauma, considering the different diagnostic tools that should be used as study protocols in order to control the dose to the pregnant woman and fetus."
36033249,"Her delivery was further complicated by postpartum haemorrhage and she was admitted to the Intensive Care Unit (ICU) for further resuscitation and seizure control which required infusions of magnesium and multiple anticonvulsants. Haemolysis, Elevated Liver enzymes and Low Platelets (HELLP) syndrome, a multisystem disease of advanced pregnancy which overlaps with pre-eclampsia, was diagnosed."
31490823,"A healthy 65-year-old woman presents to the emergency department with a 12-hour history of sudden-onset severe lower abdominal pain. A CT scan is obtained and is consistent with freely perforated diverticulitis, including a thickened sigmoid colon, free fluid in the pelvis, and free air noted near the diaphragm ()."
34049966,"Percutaneous drainage from ovarian tumours, which can alleviate symptoms, is traditionally discouraged for its potential risk of peritoneal tumour seeding."
36177063,"Recommended management of patients with preeclampsia starts with a comprehensive clinical maternal and fetal evaluation, including maternal complete blood count, platelets, creatinine, LDH, liver enzymes, and urine test for proteinuria, along with fetal ultrasonographic evaluation and fetal antepartum testing.7 Subsequent management depends on the results of this evaluation and on gestational age."
31565446,"We report the first case of Menotrophin-induced autoimmune hepatitis in a 26-year-old Caucasian woman who was diagnosed with primary infertility due to failure to conceive after five years of marriage. She had received several cycles of Menotrophin, then developed new onset jaundice and fatigue associated with increase in transaminases."
35821899,Splenic infarction can occur as an infrequent thrombotic manifestation in polycythaemia vera (PV) and is usually catastrophic. We describe the case of a middle-aged woman who was diagnosed with PV 3 months before she presented to the emergency department with acute limb ischaemia.
36447734,"We present a case of a 64-year-old woman on regular hemodialysis who presented with abdominal pain, vomiting, and diarrhea. In this case, given the absence of transmural necrosis or bowel perforation, aeroportia seemed to be caused by nonocclusive mesenteric ischemia (NOMI), an increasingly recognized complication in hemodialysis patients."
31913959,"Women with irritable bowel syndrome often report fatigue, along with abdominal pain and psychological distress (i.e., depression and anxiety). Using a secondary data analysis (N = 356), we examined the relationship between abdominal pain and fatigue and whether psychological distress mediates the effect of abdominal pain on fatigue in both across women and within woman with irritable bowel syndrome."
30337419,Blood tests were normal except for hyponatraemia of 128 mmol/L and hypokalaemia of 2.7 mmol/L. The ECG demonstrated sinus tachycardia with first-degree atrioventricular block. Chest radiograph posteroanterior view (CXR) was performed (figure 1).emermed;35/11/691/F1F1F1Figure 1Chest radiograph posteroanterior view.
31227569,"Annular pancreas (AP) is a rare diagnosis in the adult population but can cause significant morbidity if not correctly identified. While patients with chronic abdominal pain and vague GI complaints may be diagnosed with functional bowel disorders, it is important to appropriately address the possibility of an underlying structural lesion such as AP."
33619144,"A 61-year-old woman with no significant previous medical history presented to an urgent care facility with generalised rash, flushing and abdominal pain after eating mahi-mahi. On admission, the patient had an elevated white count, lipase, amylase and C reactive protein with normal liver enzymes and bilirubin."
34623978,"BACKGROUND Intussusception is a rare pathological entity in adults and remains a diagnostic challenge for clinicians, as it shares many clinical signs and symptoms with other morbid conditions (including appendicitis, abdominal hernias, colic, volvulus, and Meckel diverticulum). CASE REPORT We present the case of a 65-year-old woman with a medical history of Crohn's disease, diabetes mellitus type II, hypertension, and rheumatoid arthritis."
36381720,"Liver disease is one of the possible clinical manifestations of common variable immunodeficiency and can range from mild hepatomegaly and persistent elevation of liver enzymes to cirrhosis, portal hypertension, and nodular regenerative hyperplasia. In conclusion, idiopathic non-cirrhotic portal hypertension is a possible and often overlooked complication in patients with common variable immunodeficiency and is an exclusion diagnosis that requires a high level of suspicion, especially in patients with ascites."
33224397,"Lymphangioma is a rare, benign congenital malformation of the lymphatic system that usually affects the neck and head in children. Here we describe the interesting and rare case of a 29-year-old woman with lymphangioma of the retroperitoneum extending to the root of the mesentery."
37435108,"Systemic lupus erythematosus (SLE) is a complex autoimmune disease characterized by diverse clinical manifestations and a broad spectrum of disease course and prognosis. This case report uniquely highlights the diagnostic and therapeutic challenges posed by severe abdominal pain in a young woman suspected of SLE, with a symptom often masked by steroid therapy or immunosuppression."
35861278,"Elevated calcitonin and catecholamine levels in patients with adrenal masses and thyroid nodules are suspicious for multiple endocrine neoplasia type 2A. Here, we present an interesting case with elevated catecholamines, thyroid nodules, and hypercalcitoninemia. Further evaluation elicited elevated calcitonin levels and a suspicious 3 cm left thyroid nodule, inciting concern for medullary thyroid carcinoma."
33786258,"Abdominal anterior cutaneous nerve entrapment syndrome (ACNES) is an emerging diagnosis, with estimated incidence of 13%-30% of the adult population. It is a syndrome characterized by chronic abdominal pain caused by entrapment of cutaneous branches of thoracoabdominal nerves at the lateral border of the rectus abdominis muscle."
30910995,"BACKGROUND Mirizzi syndrome is an uncommon but clinically important complication of gallbladder disease that occurs when there is extrinsic compression of the common hepatic duct from gallstones within the cystic duct or from within the gallbladder itself. In general, treatment requires a multidisciplinary approach, using the history and physical examination to guide appropriate consultation with General Surgery, Gastroenterology, or Interventional Radiology."
