ID,Summary
35361633,"Asthma treatment goals currently focus on symptom and exacerbation control rather than remission. Remission is not identical to cure, but is a step closer. This review considers the current definitions of remission in asthma, the prevalence and predictors, the pathophysiology of remission, the possibility of achieving it using the available treatment options, and the future research directions. Asthma remission is characterised by a high level of disease control, including the absence of symptoms and exacerbations, and normalisation or optimisation of lung function with or without ongoing treatment. Even in those who develop a symptomatic remission of asthma, persistent pathological abnormalities are common, leading to a risk of subsequent relapse at any time. Complete remission requires normalisation or stabilisation of any underlying pathology in addition to symptomatic remission. Remission is possible as part of the natural history of asthma, and the prevalence of remission in the adult asthma population varies between 2% and 52%. The factors associated with remission include mild asthma, better lung function, better asthma control, younger age, early-onset asthma, shorter duration of asthma, milder bronchial hyperresponsiveness, fewer comorbidities and smoking cessation or never smoking. Although previous studies have not targeted treatment-induced remission, there is some evidence to show that the current long-term add-on therapies such as biologics and azithromycin can achieve some criteria for asthma remission on treatment, at least in a subgroup of patients. However, more research is required. Long-term remission could be included as a therapeutic goal in studies of asthma treatments."
31690377,"Approximately one-half of children with asthma present with symptoms before 3 years of age. The typical history describes recurrent episodes of wheezing and / or cough triggered by a viral upper respiratory infection (URI), activity, or changes in weather. When symptoms occur after a viral URI, children with asthma often take longer than the usual week to fully recover from their respiratory symptoms. Wheezing and coughing during exercise or during laughing or crying, and episodes triggered in the absence of infection suggest asthma. A trial of bronchodilator medication should show symptomatic improvement. The goal of asthma therapy is to keep children ""symptom free"" by preventing chronic symptoms, maintaining lung function, and allowing for normal daily activities. Avoidance of triggers identified by a history, such as second-hand cigarette smoke exposure, and allergens identified by skin-prick testing can significantly reduce symptoms. According to the 2007 National Asthma Education and Prevention Program (NAEPP) report, if impairment symptoms are present for > 2 days / week or 2 nights / month, then the disease process is characterized as persistent, and, in all age groups, inhaled corticosteroids (ICS) are recommended as the preferred daily controller therapy. Montelukast is approved for children ages ≥ 12 months and is often used for its ease of daily oral dosing. Long-acting beta-2 adrenergic agonists should only be used in combination with an ICS. For more-severe or difficult-to-control phenotypes, biologic therapy has been developed, which targets the type of inflammation present."
31558662,"This document provides clinical recommendations for the management of severe asthma. Comprehensive evidence syntheses, including meta-analyses, were performed to summarise all available evidence relevant to the European Respiratory Society / American Thoracic Society Task Force's questions. The evidence was appraised using the GRADE (Grading of Recommendations, Assessment, Development and Evaluation) approach and the results were summarised in evidence profiles. The evidence syntheses were discussed and recommendations formulated by a multidisciplinary Task Force of asthma experts, who made specific recommendations on six specific questions. After considering the balance of desirable and undesirable consequences, quality of evidence, feasibility, and acceptability of various interventions, the Task Force made the following recommendations: 1) suggest using anti-interleukin (IL) -5 and anti-IL-5 receptor α for severe uncontrolled adult eosinophilic asthma phenotypes; 2) suggest using a blood eosinophil cut-point ≥ 150 μL-1 to guide anti-IL-5 initiation in adult patients with severe asthma; 3) suggest considering specific eosinophil (≥ 260 μL-1) and exhaled nitric oxide fraction (≥ 19.5 ppb) cut-offs to identify adolescents or adults with the greatest likelihood of response to anti-IgE therapy; 4) suggest using inhaled tiotropium for adolescents and adults with severe uncontrolled asthma despite Global Initiative for Asthma (GINA) step 4-5 or National Asthma Education and Prevention Program (NAEPP) step 5 therapies; 5) suggest a trial of chronic macrolide therapy to reduce asthma exacerbations in persistently symptomatic or uncontrolled patients on GINA step 5 or NAEPP step 5 therapies, irrespective of asthma phenotype; and 6) suggest using anti-IL-4 / 13 for adult patients with severe eosinophilic asthma and for those with severe corticosteroid-dependent asthma regardless of blood eosinophil levels. These recommendations should be reconsidered as new evidence becomes available."
32767571,"Background: Asthma is an illness that commonly affects adults and children, and it serves as a common reason for children to attend emergency departments. An asthma exacerbation is characterised by acute or subacute worsening of shortness of breath, cough, wheezing, and chest tightness and may be triggered by viral respiratory infection, poor compliance with usual medication, a change in the weather, or exposure to allergens or irritants. Most children with asthma have mild or moderate exacerbations and respond well to first-line therapy (inhaled short-acting beta-agonists and systemic corticosteroids). However, the best treatment for the small proportion of seriously ill children who do not respond to first-line therapy is not well understood. Currently, a large number of treatment options are available and there is wide variation in management."
30885426,"Neurofibromatosis type 1 (NF-1), also known as von Recklinghausen's disease, is an autosomal dominant dysplasia of the ectoderm and mesoderm with a variable clinical expression, but near-complete penetrance before the age of 5 years. The estimated incidence is 1 in 3000 births. NF-1 is characterized by collections of neurofibromas, café-au-lait spots, axillary and inguinal freckling, and pigmented hamartomas in the iris (Lisch nodules). Pulmonary manifestations of NF-1, which usually include bilateral basal reticulations and apical bullae and cysts, are reported in 10-20% of adult patients. Clinically, neurofibromatosis-associated diffuse lung disease (NF-DLD) usually presents with nonspecific respiratory symptoms, including dyspnea on exertion, shortness of breath, and chronic cough or chest pain, at the time of diagnosis. Computed tomography (CT) is highly accurate for the identification and characterization of NF-DLD; it is the most reliable method for the diagnosis of this lung involvement. Various CT findings of NF-DLD, including cysts, bullae, ground-glass opacities, bibasilar reticular opacities, and emphysema, have been described in patients with NF-1. The typical CT pattern, however, is characterized by upper-lobe cystic and bullous disease, and basilar interstitial lung disease. Currently, the goal of NF-DLD treatment is the earliest possible diagnosis, focusing on symptom relief and interventions that positively alter the course of the disease, such as smoking cessation. The aim of this review is to describe the main clinical, pathological, and imaging aspects of NF-1, with a focus on pulmonary involvement."
35820227,"Introduction: Persistent cough with sputum production is an important clinical trait in chronic obstructive pulmonary disease (COPD). We defined ""frequent productive cough"" based on 2 questions from the St George's Respiratory Questionnaire (SGRQ) and sought to determine its occurrence and associated outcomes in patients with physician-assigned asthma and / or COPD from the NOVELTY study. ""Methods: We analyzed data from the NOVELTY study, a randomized, double-blind, placebo-controlled trial of the effect of fluticasone furoate / vilanterol (FF / VI) on COPD exacerbations."
33234856,"Chronic obstructive pulmonary disease (COPD) is currently the fourth leading cause of death worldwide and will likely be the third most common cause by the end of 2020. It is felt to be caused by repetitive noxious stimuli to the lung, most commonly from smoking, with persistent symptoms of cough, wheeze, and shortness of breath. Most patients will have these baseline symptoms, with periodic flare-ups known as exacerbations. This article focuses on pharmacological therapy in a stable COPD patient. Pharmacological treatment of a stable COPD patient focuses on minimizing symptoms, improving exercise tolerance, and preventing exacerbations. Nonpharmacological management of stable COPD, smoking cessation, and treatment of exacerbations are covered in other sections."
31632757,"Chronic obstructive pulmonary disease (COPD) is a major chronic debilitating condition with significant impact on quality of life, symptoms, comorbidity, health care utilization and longevity. The main pathophysiological hallmark of COPD is expiratory flow limitation which impairs the ability of respiratory system to adequately and properly ventilate. To be able to prognosticate and manage patients with COPD, various societies have developed classifications of disease severity. Current classification schemes combine three elements that include lung function, patient reported symptoms (shortness of breath) and frequency of exacerbations. Global Initiative for Obstructive Lung Disease (GOLD), an international guideline for diagnosis and management of COPD, started using this approach since the 2011 revision. Management according to this scheme has been developed and is in use. Comprehensive COPD management is multifaceted. It includes pharmacologic management, patient education, smoking cessation, influenza and pneumococcal vaccinations, depression and anxiety management, pulmonary rehabilitation, and if indicated, home oxygen therapy. The following chapter will review management recommendations currently in use for stable COPD. We intend to make the chapter to the point and practical and avoid an exhaustive review of the literature."
33292524,"In patients with asthma, the inhalation of elevated amounts of fungal spores and hyphae may precipitate the onset of asthma or worsen control to the extent of being life-threatening. Sensitisation to fungi, especially Aspergillus fumigatus, is found in 15% to 48% of asthmatics in secondary care and is linked to worse asthma control, hospitalisation, bronchiectasis and fixed airflow obstruction, irrespective of whether allergic bronchopulmonary aspergillosis (ABPA) is diagnosed. ABPA represents a florid response to the presence of Aspergillus spp. but up to 70% of patients with severe asthma exhibit sensitisation to different fungi without meeting the diagnostic criteria for ABPA. The presence of persistent endobronchial colonisation with fungi, especially A. fumigatus, is linked to significantly higher rates of radiological abnormalities, lower post-bronchodilator FEV1 and significantly less reversibility to short acting bronchodilators. The therapeutic benefit for antifungal intervention in severe asthma is based on the assumption that reductions in airway fungal burden may result in improvements in asthma control, lung function and symptoms (especially cough). This contention is supported by several prospective studies which demonstrate the effectiveness of antifungals for the treatment of ABPA. Significantly, these studies confirm lower toxicity of treatment with azoles versus high dose oral corticosteroid dosing regimens for ABPA. Here we review recent evidence for the role of fungi in the progression of severe asthma and provide recommendations for the use of antifungal agents in patients with severe asthma, airways fungal infection (mycosis) and fungal colonisation. Documenting fungal airways colonisation and sensitisation in those with severe asthma opens up alternative therapy options of antifungal therapy, which may be particularly valuable in low resource settings."
30484945,"Asthma is a common condition affecting 8.3% of the adult population in the United States. The disease is characterized by chronic airway inflammation that leads to airway hyperresponsiveness and obstruction that results in coughing, wheezing, shortness of breath, and a feeling of chest tightness. The diagnosis and classification of asthma is based on reported symptoms, physical examination findings, and spirometry. Pharmacologic therapy is prescribed using a stepwise approach that begins with inhaled short-acting beta2 -agonists for intermittent asthma with the addition of daily inhaled corticosteroids for more persistent cases. Individuals with asthma are reevaluated on a regular basis to monitor symptoms, and pharmacologic treatments are adjusted as needed. Familiarity with the stepwise approach for asthma management and confidence in the efficacy and safety profiles of inhaled medications will assist clinicians in successful management of asthma in the primary care setting."
